sample_name,breadth_classI,breadth_classII,depth_classI,depth_classII
03855000011607_TCRB,1.1681697116957151e-05,2.3363394233914302e-05,-17.45655,-16.45655
03855000011610_TCRB,0.0003922205090751711,0.00013975673311873913,71.729385,12.387909
03855000011613_TCRB,8.175344795166736e-06,5.313974116858378e-05,-15.801977,-5.38694
03855000011627_TCRB,2.338649153727913e-05,7.01594746118374e-05,-8.32436,15.359783
03855000011651_TCRB,1.7500936300092056e-05,8.050430698042345e-05,-13.821739,5.5705795
03855000011653_TCRB,2.873985323514948e-05,3.512648728740492e-05,-9.707697,-7.444662
03855000011655_TCRB,8.598526212607159e-06,0.0002923498912286434,-17.412798,20.384687
03855000011658_TCRB,1.5093713091154707e-05,3.0187426182309415e-05,-14.610704,-10.610704
03855000011667_TCRB,0.0004553578543537903,0.0004041300957389889,167.46463,43.968006
03855000011683_TCRB,0.0,2.5704297758585234e-05,-18.6398,-11.147946
03855000011690_TCRB,3.826481805079017e-05,9.18355633218964e-05,-2.333107,18.638325
03855000011702_TCRB,1.2510947078693858e-05,4.37883147754285e-05,-16.399834,-10.814871
03855000011708_TCRB,7.475843680108649e-05,0.0002180454406698356,-1.9040241,14.411978
03855000011713_TCRB,3.3064310083111654e-05,4.8093541939071495e-05,-5.2391777,-2.5611057
03855000011715_TCRB,2.2199388565412084e-05,5.391280080171506e-05,-11.146992,-1.5620289
03855000011718_TCRB,1.872424684642724e-05,0.0001509642401993196,-3.665821,122.80207
03855000011720_TCRB,6.258905133406723e-05,0.00016567690059017794,2.706829,28.213787
03855000011721_TCRB,1.8673003039031245e-05,0.0001260427705134609,-13.994886,6.0819283
03855000011722_TCRB,1.253800583017271e-05,4.3883020405604486e-05,-16.346155,-10.761192
03855000011725_TCRB,8.297997693156641e-05,0.000323621910033109,30.152956,100.465706
03855000011727_TCRB,9.163614037740344e-06,6.872710528305259e-05,-13.8700485,13.469801
03855000011728_TCRB,1.521115619998276e-05,5.4084110933272035e-05,-9.822981,14.686792
03855000011730_TCRB,1.330285501440034e-05,5.321142005760136e-05,-13.127054,8.119688
03855000011732_TCRB,0.00031941816752254355,0.0005307255706528416,106.877045,97.17913
03855000011743_TCRB,2.0082337584094788e-05,4.418114268500853e-05,-13.736353,-7.15139
03855000011770_TCRB,2.542226380174702e-05,4.576007484314463e-05,-13.856377,-7.5344486
03855000011772_TCRB,0.00019079269159922435,0.00015263415327937947,108.24538,18.472546
03855000011773_TCRB,8.974174888720231e-05,0.00040255584500830755,24.04079,148.29718
03855000011775_TCRB,4.7773877805661484e-05,0.0001686136863729229,2.1859589,51.065914
03855000011793_TCRB,1.8363336985597023e-05,3.672667397119405e-05,-15.702724,-11.117762
03855000011798_TCRB,2.4583917201366867e-05,5.531381370307545e-05,-7.194709,9.297146
03855000011799_TCRB,0.0,5.145216159610659e-05,-19.057629,0.11229706
03855000011805_TCRB,4.665363820621945e-05,0.00011404222672631421,-5.1950855,7.4829865
03855000011807_TCRB,1.8683835866238682e-05,5.9788274771963785e-05,-13.2143955,2.4830055
03855000011809_TCRB,1.7514098849573907e-05,4.253424006325092e-05,-10.402318,0.18264389
03855000011810_TCRB,1.759627803526998e-05,3.519255607053996e-05,-13.347462,-8.932425
03855000011813_TCRB,0.0,5.678752945853091e-05,-18.613976,-4.44405
03855000011819_TCRB,5.031395910481404e-05,0.00014758761337412118,0.42269135,34.748367
03855000011824_TCRB,3.531530683115752e-05,6.474472919045546e-05,-4.103943,6.873337
03855000011826_TCRB,3.310856297800488e-05,4.9662844467007315e-05,-11.375374,-9.375374
03855000011827_TCRB,2.3004547232169557e-05,5.75113680804239e-05,-12.250599,-3.665636
03855000011829_TCRB,2.4041784621672466e-05,1.803133846625435e-05,-13.927349,-14.927349
03855000011832_TCRB,2.631994525451387e-05,2.8951939779965258e-05,-9.064006,-2.1597881
03855000011834_TCRB,1.5992920467206516e-05,5.8640708379757225e-05,-15.400274,-7.8153114
03855000011835_TCRB,1.877370179852063e-05,6.570795629482222e-05,-14.388042,-3.8030796
03855000011836_TCRB,1.76018531230968e-05,5.2805559369290396e-05,-9.748652,13.536753
03855000011857_TCRB,9.332367674255678e-05,8.675158683110912e-05,56.088684,45.676468
03855000011864_TCRB,2.476841531678803e-05,9.12520564302717e-05,0.51790047,50.51953
03855000011882_TCRB,3.3633621202634804e-05,5.691843588138198e-05,-5.274989,2.7250118
03855000011891_TCRB,0.00034815243175622247,0.00032454887706088537,103.42579,45.304504
03855000011896_TCRB,2.0250211614711374e-05,0.00010125105807355687,-13.217644,8.437708
03855000011934_TCRB,1.6627038890643966e-05,5.542346296881322e-05,-15.093142,-8.093142
03855000011986_TCRB,1.0285632000658281e-05,4.628534400296226e-05,-13.353413,5.106018
03855000011992_TCRB,1.2333218908469016e-05,3.494412024066221e-05,-10.200253,-0.81692314
03855000012000_TCRB,5.661808834686506e-06,3.963266184280554e-05,-17.824469,-11.824469
03855000012006_TCRB,1.9857029388403494e-05,3.971405877680699e-05,-9.223026,-2.7900677
03855000012007_TCRB,3.221845544724586e-05,4.653776897935513e-05,-9.711945,-4.542021
03855000012042_TCRB,2.603692035306064e-05,5.988491681203947e-05,-6.3888683,13.343298
03855000012052_TCRB,6.56458733362874e-05,0.00038402835901728125,0.19514275,102.29689
03855000012055_TCRB,6.374278511350997e-06,3.505853181243048e-05,-17.135897,-8.550934
03855000012081_TCRB,3.572540433502263e-05,4.593266271645767e-05,-11.514603,-7.7072477
03855000012088_TCRB,1.3144174063915737e-05,1.3144174063915737e-05,-15.273905,-15.273905
